source,target,timestamp,id
AmateurEditor,1989 Tiananmen Square protests,"['202004170109', '201912040520', '201911270618']","['951411808', '929185242', '928161548']"
173.164.46.193,1989 Tiananmen Square protests,['202004170006'],['951402383']
El C,1989 Tiananmen Square protests,"['202004160111', '202004160103', '202003290749', '202002120510', '201912022029', '201911172126']","['951210070', '951208803', '947934716', '940376010', '928966154', '926656144']"
97.115.79.8,1989 Tiananmen Square protests,"['202004160105', '202004160059']","['951209274', '951208013']"
BabelStone,1989 Tiananmen Square protests,['202004141741'],['950944802']
Ifnord,1989 Tiananmen Square protests,['202004141727'],['950942244']
DittyReacts,1989 Tiananmen Square protests,['202004141726'],['950942153']
Ipeedmypants lol,1989 Tiananmen Square protests,"['202004141542', '202004141540']","['950925542', '950925153']"
92.67.15.105,1989 Tiananmen Square protests,"['202004121520', '202004121509', '202004121504']","['950529622', '950528087', '950527405']"
Auspicious bwszd,1989 Tiananmen Square protests,"['202004101421', '202004101342', '202004101339']","['950156781', '950151310', '950150968']"
HaeB,1989 Tiananmen Square protests,"['202004101348', '202003280612', '201911111331']","['950152130', '947747943', '925653513']"
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,1989 Tiananmen Square protests,['202004081157'],['949764701']
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,1989 Tiananmen Square protests,['202004081141'],['949763016']
Corn Kernel,1989 Tiananmen Square protests,"['202004081002', '202001281454']","['949753611', '938000203']"
Wcam,1989 Tiananmen Square protests,['202004061215'],['949426577']
Havsjö,1989 Tiananmen Square protests,"['202004030634', '201912041639', '201910070907', '201909261126', '201908122036', '201908122035']","['948823750', '929254087', '920034748', '917975051', '910546312', '910546187']"
2607:fea8:a240:110:d124:56e5:7c1c:d02f,1989 Tiananmen Square protests,['202003300913'],['948131152']
36.71.235.186,1989 Tiananmen Square protests,['202003291647'],['948000938']
113.20.22.71,1989 Tiananmen Square protests,['202003290748'],['947934632']
113.20.22.103,1989 Tiananmen Square protests,"['202003280346', '202003280345']","['947734890', '947734720']"
ClueBot NG,1989 Tiananmen Square protests,"['202003280115', '202003151017', '201912050313', '201911251610', '201911121644']","['947715573', '945654634', '929330257', '927913578', '925835445']"
Helpmechoose696969,1989 Tiananmen Square protests,['202003280115'],['947715531']
Azboi,1989 Tiananmen Square protests,['202003271554'],['947641698']
Rodrigo Valequez,1989 Tiananmen Square protests,['202003271049'],['947607423']
103.252.200.252,1989 Tiananmen Square protests,['202003271046'],['947607205']
49.183.58.15,1989 Tiananmen Square protests,['202003151017'],['945654624']
CLCStudent,1989 Tiananmen Square protests,['202003141433'],['945519185']
92.40.168.13,1989 Tiananmen Square protests,['202003141433'],['945519151']
Serols,1989 Tiananmen Square protests,['202003141423'],['945518069']
46.233.77.19,1989 Tiananmen Square protests,['202003141422'],['945518026']
24.5.217.173,1989 Tiananmen Square protests,['202003140741'],['945482004']
Charles Essie,1989 Tiananmen Square protests,['202003130557'],['945321447']
124.148.179.126,1989 Tiananmen Square protests,['202003121138'],['945193107']
75.98.137.18,1989 Tiananmen Square protests,"['202003111741', '202003111741']","['945075787', '945075751']"
Iridescent,1989 Tiananmen Square protests,['202003111341'],['945042982']
49.180.0.62,1989 Tiananmen Square protests,"['202003100600', '202003100557', '202003100541']","['944834928', '944834667', '944833189']"
2601:188:180:b8e0:65f5:930c:b0b2:cd63,1989 Tiananmen Square protests,"['202003031505', '202003011936']","['943718543', '943415995']"
185.135.2.103,1989 Tiananmen Square protests,['202003022041'],['943600829']
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,1989 Tiananmen Square protests,['202003011934'],['943415736']
DemocraticLuntz,1989 Tiananmen Square protests,['202002261411'],['942732513']
103.93.115.18,1989 Tiananmen Square protests,['202002261408'],['942732185']
IdreamofJeanie,1989 Tiananmen Square protests,['202002241829'],['942442886']
